inventory_id,paper_table,model,dataset,task,paper_status,reproduction_status,paper_metric_count,observed_metric_count,evidence,assessment
EXP-02,Table 1,Human (9 annotators),"UIQ validation sample (AudioCaps, Clotho, MECAT)",UIQ Imperative validity,PAPER,BLOCKED,2,0,docs/paper_experiment_inventory.md,"Original sample IDs, ratings or closed-model responses are not published."
EXP-02,Table 1,Human (9 annotators),"UIQ validation sample (AudioCaps, Clotho, MECAT)",UIQ Keyphrase validity,PAPER,BLOCKED,2,0,docs/paper_experiment_inventory.md,"Original sample IDs, ratings or closed-model responses are not published."
EXP-02,Table 1,Human (9 annotators),"UIQ validation sample (AudioCaps, Clotho, MECAT)",UIQ Negative validity,PAPER,BLOCKED,2,0,docs/paper_experiment_inventory.md,"Original sample IDs, ratings or closed-model responses are not published."
EXP-02,Table 1,Human (9 annotators),"UIQ validation sample (AudioCaps, Clotho, MECAT)",UIQ Overall validity,PAPER,BLOCKED,2,0,docs/paper_experiment_inventory.md,"Original sample IDs, ratings or closed-model responses are not published."
EXP-02,Table 1,Human (9 annotators),"UIQ validation sample (AudioCaps, Clotho, MECAT)",UIQ Paraphrase validity,PAPER,BLOCKED,2,0,docs/paper_experiment_inventory.md,"Original sample IDs, ratings or closed-model responses are not published."
EXP-02,Table 1,Human (9 annotators),"UIQ validation sample (AudioCaps, Clotho, MECAT)",UIQ Question validity,PAPER,BLOCKED,2,0,docs/paper_experiment_inventory.md,"Original sample IDs, ratings or closed-model responses are not published."
EXP-03,Table 1,Claude Opus 4.5,"UIQ validation sample (AudioCaps, Clotho, MECAT)",UIQ Imperative validity,PAPER,BLOCKED,2,0,docs/paper_experiment_inventory.md,"Original sample IDs, ratings or closed-model responses are not published."
EXP-03,Table 1,Claude Opus 4.5,"UIQ validation sample (AudioCaps, Clotho, MECAT)",UIQ Keyphrase validity,PAPER,BLOCKED,2,0,docs/paper_experiment_inventory.md,"Original sample IDs, ratings or closed-model responses are not published."
EXP-03,Table 1,Claude Opus 4.5,"UIQ validation sample (AudioCaps, Clotho, MECAT)",UIQ Negative validity,PAPER,BLOCKED,2,0,docs/paper_experiment_inventory.md,"Original sample IDs, ratings or closed-model responses are not published."
EXP-03,Table 1,Claude Opus 4.5,"UIQ validation sample (AudioCaps, Clotho, MECAT)",UIQ Overall validity,PAPER,BLOCKED,2,0,docs/paper_experiment_inventory.md,"Original sample IDs, ratings or closed-model responses are not published."
EXP-03,Table 1,Claude Opus 4.5,"UIQ validation sample (AudioCaps, Clotho, MECAT)",UIQ Paraphrase validity,PAPER,BLOCKED,2,0,docs/paper_experiment_inventory.md,"Original sample IDs, ratings or closed-model responses are not published."
EXP-03,Table 1,Claude Opus 4.5,"UIQ validation sample (AudioCaps, Clotho, MECAT)",UIQ Question validity,PAPER,BLOCKED,2,0,docs/paper_experiment_inventory.md,"Original sample IDs, ratings or closed-model responses are not published."
EXP-10,Table 2,LAION-CLAP,AudioCaps,T2A,PAPER,TODO,3,0,,"Paper value is transcribed, but no qualifying reproduction observation is committed for this cell."
EXP-10,Table 2,LAION-CLAP,Clotho,T2A,PAPER,TODO,3,0,,"Paper value is transcribed, but no qualifying reproduction observation is committed for this cell."
EXP-10,Table 2,LAION-CLAP,MECAT,T2A,PAPER,BLOCKED,3,0,docs/mecat_data_audit.md,PAPER uses 847 items while the public release has 848; excluded ID and caption construction are missing.
EXP-10,Table 2,M2D-CLAP,AudioCaps,T2A,PAPER,TODO,3,0,,"Paper value is transcribed, but no qualifying reproduction observation is committed for this cell."
EXP-10,Table 2,M2D-CLAP,Clotho,T2A,PAPER,TODO,3,0,,"Paper value is transcribed, but no qualifying reproduction observation is committed for this cell."
EXP-10,Table 2,M2D-CLAP,MECAT,T2A,PAPER,BLOCKED,3,0,docs/mecat_data_audit.md,PAPER uses 847 items while the public release has 848; excluded ID and caption construction are missing.
EXP-10,Table 2,MGA-CLAP,AudioCaps,T2A,PAPER,TODO,3,0,,"Paper value is transcribed, but no qualifying reproduction observation is committed for this cell."
EXP-10,Table 2,MGA-CLAP,Clotho,T2A,PAPER,TODO,3,0,,"Paper value is transcribed, but no qualifying reproduction observation is committed for this cell."
EXP-10,Table 2,MGA-CLAP,MECAT,T2A,PAPER,BLOCKED,3,0,docs/mecat_data_audit.md,PAPER uses 847 items while the public release has 848; excluded ID and caption construction are missing.
EXP-10,Table 2,Nemotron-3B,AudioCaps,T2A,PAPER,TODO,3,0,,"Paper value is transcribed, but no qualifying reproduction observation is committed for this cell."
EXP-10,Table 2,Nemotron-3B,Clotho,T2A,PAPER,TODO,3,0,,"Paper value is transcribed, but no qualifying reproduction observation is committed for this cell."
EXP-10,Table 2,Nemotron-3B,MECAT,T2A,PAPER,BLOCKED,3,0,docs/mecat_data_audit.md,PAPER uses 847 items while the public release has 848; excluded ID and caption construction are missing.
EXP-10,Table 2,OEA-Nemo3B,AudioCaps,T2A,PAPER,TODO,3,0,,"Paper value is transcribed, but no qualifying reproduction observation is committed for this cell."
EXP-10,Table 2,OEA-Nemo3B,Clotho,T2A,PAPER,REPRODUCED_CLOSE,3,3,results/audits/oea_nemo3b_ac_clotho_official_source_eval_20260729.json,Predeclared public-code or sensitivity protocol has value evidence; missing paper protocol remains separately blocked.
EXP-10,Table 2,OEA-Nemo3B,MECAT,T2A,PAPER,BLOCKED,3,0,docs/mecat_data_audit.md,PAPER uses 847 items while the public release has 848; excluded ID and caption construction are missing.
EXP-10,Table 2,OEA-Nemo3B (+Cl),AudioCaps,T2A,PAPER,TODO,3,0,,"Paper value is transcribed, but no qualifying reproduction observation is committed for this cell."
EXP-10,Table 2,OEA-Nemo3B (+Cl),Clotho,T2A,PAPER,REPRODUCED_CLOSE,3,3,results/audits/asrur_nemo_clotho_t2a_20260727.json,Predeclared public-code or sensitivity protocol has value evidence; missing paper protocol remains separately blocked.
EXP-10,Table 2,OEA-Nemo3B (+Cl),MECAT,T2A,PAPER,BLOCKED,3,0,docs/mecat_data_audit.md,PAPER uses 847 items while the public release has 848; excluded ID and caption construction are missing.
EXP-10,Table 2,OEA-Qwen3B,AudioCaps,T2A,PAPER,TODO,3,0,,"Paper value is transcribed, but no qualifying reproduction observation is committed for this cell."
EXP-10,Table 2,OEA-Qwen3B,Clotho,T2A,PAPER,REPRODUCED_CLOSE,3,3,results/audits/qwen3b_clotho_retrieval_suite_20260720.json,Predeclared public-code or sensitivity protocol has value evidence; missing paper protocol remains separately blocked.
EXP-10,Table 2,OEA-Qwen3B,MECAT,T2A,PAPER,BLOCKED,3,0,docs/mecat_data_audit.md,PAPER uses 847 items while the public release has 848; excluded ID and caption construction are missing.
EXP-10,Table 2,OEA-Qwen3B (+Cl),AudioCaps,T2A,PAPER,TODO,3,0,,"Paper value is transcribed, but no qualifying reproduction observation is committed for this cell."
EXP-10,Table 2,OEA-Qwen3B (+Cl),Clotho,T2A,PAPER,REPRODUCED_CLOSE,3,3,results/audits/qwen3b_cl_clotho_official_eval_20260719.json,Predeclared public-code or sensitivity protocol has value evidence; missing paper protocol remains separately blocked.
EXP-10,Table 2,OEA-Qwen3B (+Cl),MECAT,T2A,PAPER,BLOCKED,3,0,docs/mecat_data_audit.md,PAPER uses 847 items while the public release has 848; excluded ID and caption construction are missing.
EXP-10,Table 2,OEA-Qwen7B,AudioCaps,T2A,PAPER,TODO,3,0,,"Paper value is transcribed, but no qualifying reproduction observation is committed for this cell."
EXP-10,Table 2,OEA-Qwen7B,Clotho,T2A,PAPER,TODO,3,0,,"Paper value is transcribed, but no qualifying reproduction observation is committed for this cell."
EXP-10,Table 2,OEA-Qwen7B,MECAT,T2A,PAPER,BLOCKED,3,0,docs/mecat_data_audit.md,PAPER uses 847 items while the public release has 848; excluded ID and caption construction are missing.
EXP-10,Table 2,OEA-Qwen7B (+Cl),AudioCaps,T2A,PAPER,TODO,3,0,,"Paper value is transcribed, but no qualifying reproduction observation is committed for this cell."
EXP-10,Table 2,OEA-Qwen7B (+Cl),Clotho,T2A,PAPER,TODO,3,0,,"Paper value is transcribed, but no qualifying reproduction observation is committed for this cell."
